,date,VOL,CIKS,SHROUT,PRC,VOLP,ACCESSION NUMBER,base_vol,base_volP,T0,T1,T3,T5,T20,T60,T0P,T1P,T3P,T5P,T20P,T60P,T0PP,T1PP,T3PP,T5PP,T20PP,T60PP,d4,abnormal,Year,Unnamed: 0,mkt_cap, ,PB_ratios
886,20230301,1805094.0,0000073309,253000.0,170.74001,7.134758893280632,0001564590-23-002793,1852848.8,7.217435872844202,1805094.0,1445737.0,1842098.0,1442080.3333333333,1110666.0,1582417.6666666667,7.134758893280632,5.714375494071146,7.28101976284585,5.699922266139652,4.389984189723315,6.281204889737446,-0.011455173418948464,-0.2082540676846692,0.008809761682938394,-0.21025661099591292,-0.391752934551071,-0.12971794964321753,1688205.0,-0.08885981414133741,2023,NUE US,42785.81938596,,2.04
887,20150223,3162337.0,0000797468,775428.0,79.8,4.078182629463987,0000797468-15-000003,6500309.516666667,8.382866644829264,3162337.0,2710934.0,4696394.0,4758754.333333333,7547116.666666667,3701571.0,4.078182629463987,3.4960486337867605,6.056518464641463,6.1630088045030424,9.794454177751811,4.809302440399693,-0.513509781050913,-0.582953089687619,-0.2775122495384969,-0.2648089173284748,0.16838959662960234,-0.42629381521103205,3855875.0,-0.4068167077100541,2015,OXY US,51636.18425842285,,2.12
888,20160226,3347839.0,0000797468,763736.0,69.8,4.383502938188065,0000797468-16-000017,6064291.033333333,7.940297476265795,3347839.0,4650975.0,4522414.0,5643447.333333333,4040226.3333333335,3569862.6666666665,4.383502938188065,6.088898925829193,5.920591219422788,7.388210086252218,5.2893274595413,4.674179684823334,-0.447942227442899,-0.2331648853170281,-0.2543615353052043,-0.0695298119074017,-0.3338628086225312,-0.4113344369282331,5077171.25,-0.1627757932308119,2016,OXY US,54433.14518554688,,2.53
889,20190221,4122728.0,0000797468,755026.0,66.6,5.460378847880735,0000797468-19-000004,5176590.4,6.843494663245202,4122728.0,5035886.0,2764758.0,3193432.6666666665,4697640.666666667,12777061.0,5.460378847880735,6.669817993022757,3.6618050239329505,4.242013566176767,6.2673147033893315,17.084418849063606,-0.20210665506803943,-0.025378359853953206,-0.46492176817209446,-0.3801392746078078,-0.08419382029336517,1.4964465802567213,3588634.5,-0.3067571079218476,2019,OXY US,36813.6129387,,1.55
890,20120224,9875200.0,0001281761,1258877.0,5.8,7.844451840807323,0001193125-12-078199,19889453.333333332,15.799460752578806,9875200.0,18421900.0,19060900.0,18612833.333333332,37066766.666666664,19694966.666666668,7.844451840807323,14.633598040158013,15.126317836070518,14.770741823828255,29.415384045636056,13.94827667610955,-0.5034987608974603,-0.07379129773340522,-0.042605436163282794,-0.06511101517073252,0.86179670979181,-0.11716754802325158,17209925.0,-0.13472106489938715,2012,RF US,10074.711759033204,,0.67
891,20130221,23973500.0,0001281761,1413000.0,7.59,16.966383581033263,0001193125-13-069212,16015683.333333334,11.334149379479937,23973500.0,15393700.0,15518100.0,12835266.666666666,12841233.333333334,15043833.333333334,16.966383581033263,10.894338287331918,10.982377919320594,9.082940938354993,9.08539474394832,10.643493723306674,0.4969260606138013,-0.03880406702105775,-0.031036423500488908,-0.19862173734896024,-0.19840524067936713,-0.06093581732950067,15174200.0,-0.052541207004384284,2013,RF US,13623.99412841797,,0.89
892,20150217,13311011.0,0001281761,1376475.0,9.68,9.67036161208885,0001281761-15-000022,16996232.95,12.344984353245247,13311011.0,11056476.0,10207440.0,11587633.0,17605149.333333332,16369535.0,9.67036161208885,8.032456819048656,7.415637770391761,8.418338872845505,13.109857764896818,12.188782576321678,-0.21665663273629762,-0.3493343864030831,-0.3992995407529747,-0.3180761812280067,0.061958232571635574,-0.012653055885202975,10838431.25,-0.3623039127620335,2015,RF US,12532.5,,0.79
893,20160216,24383687.0,0001281761,1297000.0,7.84,18.80006707787201,0001281761-16-000108,20204549.15,15.494395308200001,24383687.0,20674906.0,19930067.0,18673556.666666668,14749735.0,14018206.333333334,18.80006707787201,15.940559753276792,15.366281418658442,14.397499357491656,11.453195964985989,10.994671633986934,0.2133462909599686,0.02879521505693547,-0.008268402024941144,-0.07079307897403665,-0.26081684782337483,-0.2904097633182049,20412224.25,0.010278630740938929,2016,RF US,17676.798896484375,,1.11
894,20170224,15315565.0,0001281761,1215000.0,15.2,12.60540329218107,0001281761-17-000026,17967911.533333335,14.623816926173308,15315565.0,9942209.0,21595017.0,19459891.0,18899043.0,15208244.666666666,12.60540329218107,8.182888065843622,17.917324823959,16.145816791245704,15.680482784198254,12.620949930843713,-0.13802235382061828,-0.4404410211674551,0.22521533977159278,0.10407678602351492,0.07225650207188755,-0.13695924979373333,16047171.5,-0.10689834652013155,2017,RF US,20044.30739904,,1.29
895,20180226,11291369.0,0001281761,1134000.0,19.8,9.957115520282187,0001281761-18-000016,11304592.2,9.799735913807773,11291369.0,11728376.0,12432207.0,9577379.0,12711208.0,9537334.0,9.957115520282187,10.342483245149912,11.074821502541056,8.53169215145671,11.323360339935775,8.492728406055212,0.016059576284363688,0.05538387321003333,0.1301142806243069,-0.1293957075480367,0.15547606991951934,-0.13337170707947285,11915398.75,0.05403171907430688,2018,RF US,13833.1838112,,0.97
